MsgID.GLOBAL_POSITION,0.0000000,-122.3973388,37.7925350,5.0120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.1300000
MsgID.LOCAL_POSITION,15983.0520000,6.1161528,9.8842812,-5.0122180
MsgID.LOCAL_VELOCITY,15983.0520000,-0.0068661,-0.0017016,0.1358212
MsgID.GLOBAL_POSITION,0.0000000,-122.3973365,37.7925336,5.0140000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.1100000
MsgID.LOCAL_POSITION,15983.3020000,5.9655151,10.0858965,-5.0145216
MsgID.LOCAL_VELOCITY,15983.3020000,-0.0179262,0.0069770,0.1137993
MsgID.GLOBAL_POSITION,0.0000000,-122.3973362,37.7925342,5.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.1200000
MsgID.LOCAL_POSITION,15983.5520000,6.0302787,10.1103001,-5.0175991
MsgID.LOCAL_VELOCITY,15983.5520000,-0.0070895,-0.0021436,0.1222841
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973373,37.7925344,5.0100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,0.1500000
MsgID.LOCAL_POSITION,15983.8010000,6.0477762,10.0151844,-5.0100145
MsgID.LOCAL_VELOCITY,15983.8010000,-0.0033765,-0.0124606,0.1536742
MsgID.GLOBAL_POSITION,0.0000000,-122.3973370,37.7925327,5.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0800000
MsgID.LOCAL_POSITION,15984.0520000,5.8605185,10.0430069,-5.0073094
MsgID.LOCAL_VELOCITY,15984.0520000,-0.0063779,-0.0095471,0.0838965
MsgID.GLOBAL_POSITION,0.0000000,-122.3973369,37.7925335,5.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0800000
MsgID.LOCAL_POSITION,15984.3020000,5.9502559,10.0482159,-5.0077720
MsgID.LOCAL_VELOCITY,15984.3020000,0.0071620,-0.0070511,0.0871306
MsgID.GLOBAL_POSITION,0.0000000,-122.3973377,37.7925348,5.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,0.0500000
